title_en,title_ar,short_desc_en,short_desc_ar,page_seo_title_en,page_seo_title_ar,page_seo_desc_en,page_seo_desc_ar,page_seo_keywords_en,page_seo_keywords_ar,page_image,is_redirection,is_blank,url_en,url_ar,location,page_folder_id
Glowing Skin IV Drip,تركيبة نضارة البشرة عبر الوريد,Boosts hydration and skin radiance for a healthy glow.,يعزز الترطيب ويزيد إشراقة البشرة.,Glowing Skin IV Drip in Abu Dhabi | Elyzee Hospital,تركيبة نضارة البشرة عبر الوريد | مستشفى اليزيه,"Glowing Skin IV improves radiance, hydration and complexion clarity at Elyzee Hospital.",جلسة نضارة البشرة في مستشفى اليزيه لرفع الترطيب والإشراقة.,"skin glow IV Abu Dhabi, hydration drip UAE, beauty IV therapy, Elyzee Hospital",نضارة البشرة، ترطيب، جلسة وريد، مستشفى اليزيه,https://www.elyzee.ae/uploads/image/specialties/iv-drip-therapy/iv-drip-therapy.jpg,Yes,No,https://www.elyzee.ae/en/services/general-practice/iv-drip-therapy-abudhabi.html,https://www.elyzee.ae/ar/services/general-practice/iv-drip-therapy-abudhabi.html,249,6
Post-Op Surgery Recovery IV Drip,استشفاء ما بعد الجراحة عبر الوريد,Supports healing and reduces inflammation after surgery.,يدعم الشفاء ويقلل الالتهاب بعد العمليات.,Post-Op Surgery Recovery IV Drip | Elyzee Hospital Abu Dhabi,استشفاء ما بعد الجراحة عبر الوريد | مستشفى اليزيه,Recovery IV at Elyzee Hospital speeds healing and improves post-surgery recovery.,جلسة استشفاء بعد الجراحة في مستشفى اليزيه لتعزيز الشفاء.,"post surgery IV Abu Dhabi, recovery drip UAE, healing support IV, Elyzee Hospital",استشفاء جراحي، تعافي سريع، علاج وريد، مستشفى اليزيه,https://www.elyzee.ae/uploads/image/specialties/iv-drip-therapy/iv-drip-therapy.jpg,Yes,No,https://www.elyzee.ae/en/services/general-practice/iv-drip-therapy-abudhabi.html,https://www.elyzee.ae/ar/services/general-practice/iv-drip-therapy-abudhabi.html,249,6
Immunity Booster IV Drip,معزز المناعة عبر الوريد,Strengthens immunity and enhances natural defense.,يعزز المناعة ويدعم الدفاع الطبيعي.,Immunity Booster IV Drip in Abu Dhabi | Elyzee Hospital,معزز المناعة عبر الوريد في أبوظبي | مستشفى اليزيه,Immunity IV at Elyzee Hospital boosts immune strength and resistance.,جلسة تعزيز المناعة في مستشفى اليزيه لرفع المناعة.,"immunity IV Abu Dhabi, vitamin C drip UAE, immune booster therapy, Elyzee Hospital",تعزيز المناعة، فيتامين سي، جلسة وريد، مستشفى اليزيه,https://www.elyzee.ae/uploads/image/specialties/iv-drip-therapy/iv-drip-therapy.jpg,Yes,No,https://www.elyzee.ae/en/services/general-practice/iv-drip-therapy-abudhabi.html,https://www.elyzee.ae/ar/services/general-practice/iv-drip-therapy-abudhabi.html,249,6
Multivitamins & Blood Booster IV Drip,تركيبة الفيتامينات ومعزز الدم عبر الوريد,Restores vitamins and supports healthy blood levels.,يعوض الفيتامينات ويدعم صحة الدم.,Multivitamin & Blood Booster IV Drip | Elyzee Hospital Abu Dhabi,تركيبة الفيتامينات ومعزز الدم عبر الوريد | مستشفى اليزيه,"Multivitamin IV at Elyzee Hospital boosts energy, immunity and blood health.",جلسة فيتامينات في مستشفى اليزيه لتعزيز المناعة وصحة الدم.,"multivitamin IV Abu Dhabi, blood booster UAE, vitamin infusion, Elyzee Hospital",فيتامينات وريد، معزز الدم، مستشفى اليزيه,https://www.elyzee.ae/uploads/image/specialties/iv-drip-therapy/iv-drip-therapy.jpg,Yes,No,https://www.elyzee.ae/en/services/general-practice/iv-drip-therapy-abudhabi.html,https://www.elyzee.ae/ar/services/general-practice/iv-drip-therapy-abudhabi.html,249,6
Male Fertility IV Drip,تعزيز الخصوبة للرجال عبر الوريد,"Improves sperm health, vitality and hormonal balance.",يحسن صحة الحيوانات المنوية والتوازن الهرموني.,Male Fertility IV Drip in Abu Dhabi | Elyzee Hospital,تعزيز الخصوبة للرجال عبر الوريد | مستشفى اليزيه,"Male Fertility IV improves sperm motility, vitality and reproductive wellness.",جلسة خصوبة للرجال في مستشفى اليزيه لدعم الصحة الإنجابية.,"male fertility IV Abu Dhabi, sperm health UAE, hormone balance drip, Elyzee Hospital",خصوبة الرجال، صحة الحيوانات المنوية، جلسة وريد، مستشفى اليزيه,https://www.elyzee.ae/uploads/image/specialties/iv-drip-therapy/iv-drip-therapy.jpg,Yes,No,https://www.elyzee.ae/en/services/general-practice/iv-drip-therapy-abudhabi.html,https://www.elyzee.ae/ar/services/general-practice/iv-drip-therapy-abudhabi.html,249,6
Female Fertility IV Drip,تعزيز الخصوبة للنساء عبر الوريد,Supports hormonal balance and female reproductive health.,يدعم التوازن الهرموني وصحة الإنجاب.,Female Fertility IV Drip | Elyzee Hospital Abu Dhabi,تعزيز الخصوبة للنساء عبر الوريد | مستشفى اليزيه,"Female Fertility IV boosts ovulation, hormonal balance and reproductive wellness.",جلسة خصوبة للنساء في مستشفى اليزيه لدعم الهرمونات.,"female fertility IV Abu Dhabi, hormone support UAE, ovulation booster, Elyzee Hospital",خصوبة النساء، دعم الهرمونات، جلسة وريد، مستشفى اليزيه,https://www.elyzee.ae/uploads/image/specialties/iv-drip-therapy/iv-drip-therapy.jpg,Yes,No,https://www.elyzee.ae/en/services/general-practice/iv-drip-therapy-abudhabi.html,https://www.elyzee.ae/ar/services/general-practice/iv-drip-therapy-abudhabi.html,249,6
Fat-Burning Booster IV Drip,معزز حرق الدهون عبر الوريد,Accelerates metabolism and helps burn fat naturally.,يسرع الأيض ويساعد على حرق الدهون.,Fat-Burning IV Drip in Abu Dhabi | Elyzee Hospital,معزز حرق الدهون عبر الوريد | مستشفى اليزيه,Fat-Burning IV boosts metabolism and supports weight loss at Elyzee Hospital.,جلسة حرق الدهون في مستشفى اليزيه لتنشيط الأيض.,"fat burning IV Abu Dhabi, metabolism booster UAE, weight loss drip, Elyzee Hospital",حرق الدهون، تنشيط الأيض، جلسة وريد، مستشفى اليزيه,https://www.elyzee.ae/uploads/image/specialties/iv-drip-therapy/iv-drip-therapy.jpg,Yes,No,https://www.elyzee.ae/en/services/general-practice/iv-drip-therapy-abudhabi.html,https://www.elyzee.ae/ar/services/general-practice/iv-drip-therapy-abudhabi.html,249,6
Fat-Burning Plus IV Drip,تركيبة حرق الدهون بلس عبر الوريد,Advanced formula for faster fat-burning and metabolism.,تركيبة متقدمة لتسريع حرق الدهون.,Fat-Burning Plus IV Drip in Abu Dhabi | Elyzee Hospital,تركيبة حرق الدهون بلس عبر الوريد | مستشفى اليزيه,Fat-Burning Plus IV at Elyzee Hospital enhances fat breakdown and metabolic rate.,حرق الدهون بلس في مستشفى اليزيه لتعزيز فقدان الوزن.,"fat burning plus IV, advanced weight loss IV, metabolism booster UAE, Elyzee Hospital",حرق الدهون بلس، فقدان الوزن، مستشفى اليزيه,https://www.elyzee.ae/uploads/image/specialties/iv-drip-therapy/iv-drip-therapy.jpg,Yes,No,https://www.elyzee.ae/en/services/general-practice/iv-drip-therapy-abudhabi.html,https://www.elyzee.ae/ar/services/general-practice/iv-drip-therapy-abudhabi.html,249,6
Weight Loss Formula IV Drip,تركيبة فقدان الوزن عبر الوريد,Supports safe and effective weight loss and fat reduction.,يدعم فقدان الوزن وحرق الدهون.,Weight Loss IV Drip in Abu Dhabi | Elyzee Hospital,تركيبة فقدان الوزن عبر الوريد | مستشفى اليزيه,"Weight Loss IV promotes fat burning, metabolism and healthy slimming.",جلسة فقدان الوزن في مستشفى اليزيه لدعم التنحيف.,"weight loss IV Abu Dhabi, slimming drip UAE, fat loss therapy Elyzee Hospital",تنحيف، فقدان الوزن، جلسة وريد، مستشفى اليزيه,https://www.elyzee.ae/uploads/image/specialties/iv-drip-therapy/iv-drip-therapy.jpg,Yes,No,https://www.elyzee.ae/en/services/general-practice/iv-drip-therapy-abudhabi.html,https://www.elyzee.ae/ar/services/general-practice/iv-drip-therapy-abudhabi.html,249,6
Detox (Liver Cleanser) IV Drip,تركيبة الديتوكس وتنقية الكبد عبر الوريد,Detoxifies the body and supports liver cleansing.,ينقي الجسم والكبد من السموم.,Detox & Liver Cleanse IV Drip in Abu Dhabi | Elyzee Hospital,تركيبة الديتوكس وتنقية الكبد عبر الوريد | مستشفى اليزيه,"Detox IV at Elyzee Hospital cleanses the liver, removes toxins and restores vitality.",جلسة ديتوكس في مستشفى اليزيه لتنقية السموم وتعزيز الحيوية.,"detox IV Abu Dhabi, liver cleanse IV UAE, detox therapy, Elyzee Hospital",ديتوكس، تنظيف الكبد، إزالة السموم، مستشفى اليزيه,https://www.elyzee.ae/uploads/image/specialties/iv-drip-therapy/iv-drip-therapy.jpg,Yes,No,https://www.elyzee.ae/en/services/general-practice/iv-drip-therapy-abudhabi.html,https://www.elyzee.ae/ar/services/general-practice/iv-drip-therapy-abudhabi.html,249,6
